Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Checkpoint_2;284.46;284.2;2;2;2;0;10;301;79;222;26.2;0;0;0;0;301;79;222;26.2
Checkpoint_3;352.24;67.78;0;2;0;0;0;65;27;38;41.5;0;0;0;0;65;27;38;41.5
Checkpoint_4;416.08;63.84;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Checkpoint_5;132.98;132.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Checkpoint_6;26.16;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0
Checkpoint_7;73.76;47.6;0;0;0;0;4;61;28;33;45.9;0;0;0;0;61;28;33;45.9
Checkpoint_8;169.94;96.18;5;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
Checkpoint_9;330.74;160.8;6;11;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Checkpoint_10;374.72;43.98;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Final_Level;396.52;328.48;3;3;1;2;4;412;243;169;59;2;1;1;50;414;244;170;58.9
