Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.00;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;88.60;88.60;0;0;0;0;6;96;42;54;43.8;0;0;0;0.0;96;42;54;43.8
Checkpoint_3;135.54;46.94;0;0;0;0;0;48;27;21;56.3;0;0;0;0.0;48;27;21;56.3
Checkpoint_4;487.86;352.32;9;9;0;9;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;535.56;47.70;0;9;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_6;1130.82;595.26;1;10;0;1;25;1209;579;630;47.9;18;0;18;0.0;1227;579;648;47.2
Checkpoint_7;1146.58;15.76;0;10;0;0;4;12;8;4;66.7;4;3;1;75.0;16;11;5;68.8
Checkpoint_8;1163.56;16.98;0;10;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_9;1269.66;106.10;4;14;0;4;0;11;0;11;0.0;0;0;0;0.0;11;0;11;0.0
Checkpoint_10;1277.10;7.44;0;14;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Final_Level;1324.27;47.17;0;14;0;0;2;93;76;17;81.7;7;4;3;57.1;100;80;20;80.0
