Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.20;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;152.36;152.16;2;2;2;0;7;155;56;99;36.1;0;0;0;0.0;155;56;99;36.1
Checkpoint_3;221.20;68.84;1;3;1;0;0;61;36;25;59.0;0;0;0;0.0;61;36;25;59.0
Checkpoint_4;363.44;142.24;3;6;0;3;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;419.24;55.80;0;6;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_6;1499.36;1080.12;3;9;2;1;23;567;132;435;23.3;254;14;240;5.5;821;146;675;17.8
Checkpoint_7;1521.94;22.58;0;9;0;0;4;0;0;0;0.0;9;4;5;44.4;9;4;5;44.4
Checkpoint_8;1568.48;46.54;2;11;0;2;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_9;1916.22;347.74;22;33;0;22;0;4;0;4;0.0;0;0;0;0.0;4;0;4;0.0
Checkpoint_10;1928.70;12.48;0;33;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Final_Level;2653.89;725.19;20;53;0;20;22;1153;806;347;69.9;46;34;12;73.9;1199;840;359;70.1
