Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.18;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;65.96;65.78;0;0;0;0;6;96;42;54;43.8;0;0;0;0.0;96;42;54;43.8
Checkpoint_3;115.94;49.98;1;1;1;0;0;61;50;11;82.0;0;0;0;0.0;61;50;11;82.0
Checkpoint_4;171.76;55.82;1;2;0;1;1;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;208.20;36.44;0;2;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_6;957.48;749.28;5;7;4;1;32;1427;574;853;40.2;69;19;50;27.5;1496;593;903;39.6
Checkpoint_7;969.10;11.62;0;7;0;0;4;41;28;13;68.3;0;0;0;0.0;41;28;13;68.3
Checkpoint_8;1005.10;36.00;1;8;0;1;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_9;1021.42;16.32;0;8;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_10;1028.68;7.26;0;8;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Final_Level;1104.85;76.17;1;9;0;1;2;138;105;33;76.1;6;6;0;100.0;144;111;33;77.1
