Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.00;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;110.62;110.62;0;0;0;0;6;116;42;74;36.2;0;0;0;0.0;116;42;74;36.2
Checkpoint_3;175.28;64.66;1;1;1;0;0;111;51;60;45.9;0;0;0;0.0;111;51;60;45.9
Checkpoint_4;265.30;90.02;3;4;0;3;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;303.94;38.64;0;4;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_6;1520.38;1216.44;9;13;1;8;32;2218;813;1405;36.7;44;8;36;18.2;2262;821;1441;36.3
Checkpoint_7;1536.50;16.12;0;13;0;0;4;26;15;11;57.7;4;1;3;25.0;30;16;14;53.3
Checkpoint_8;1552.08;15.58;0;13;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_9;1759.06;206.98;13;26;0;13;0;24;0;24;0.0;0;0;0;0.0;24;0;24;0.0
Checkpoint_10;1765.66;6.60;0;26;0;0;0;4;0;4;0.0;0;0;0;0.0;4;0;4;0.0
Final_Level;1873.62;107.96;3;29;0;3;4;117;97;20;82.9;19;17;2;89.5;136;114;22;83.8
