Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.26;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;40.48;40.22;0;0;0;0;6;54;42;12;77.8;0;0;0;0.0;54;42;12;77.8
Checkpoint_3;79.20;38.72;0;0;0;0;0;31;27;4;87.1;0;0;0;0.0;31;27;4;87.1
Checkpoint_4;117.22;38.02;1;1;0;1;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;149.16;31.94;0;1;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_6;505.60;356.44;0;1;0;0;23;461;365;96;79.2;69;5;64;7.2;530;370;160;69.8
Checkpoint_7;517.22;11.62;0;1;0;0;4;11;11;0;100.0;6;4;2;66.7;17;15;2;88.2
Checkpoint_8;534.50;17.28;0;1;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_9;551.56;17.06;0;1;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_10;570.64;19.08;0;1;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Final_Level;613.53;42.89;0;1;0;0;2;49;41;8;83.7;13;7;6;53.8;62;48;14;77.4
