Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.18;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;198.60;198.42;1;1;1;0;8;159;57;102;35.8;0;0;0;0.0;159;57;102;35.8
Checkpoint_3;284.98;86.38;2;3;2;0;0;55;39;16;70.9;0;0;0;0.0;55;39;16;70.9
Checkpoint_4;429.78;144.80;4;7;0;4;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;526.24;96.46;1;8;0;1;0;25;0;25;0.0;0;0;0;0.0;25;0;25;0.0
Checkpoint_6;2329.32;1803.08;10;18;9;1;28;3137;662;2475;21.1;81;7;74;8.6;3218;669;2549;20.8
Checkpoint_7;2346.78;17.46;0;18;0;0;4;0;0;0;0.0;5;3;2;60.0;5;3;2;60.0
Checkpoint_8;2363.52;16.74;0;18;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_9;2552.52;189.00;10;28;0;10;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_10;2566.24;13.72;0;28;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Final_Level;2719.83;153.59;3;31;0;3;3;207;162;45;78.3;12;8;4;66.7;219;170;49;77.6
