Checkpoint;Tiempo Absoluto (seg);Tiempo Desde Anterior (seg);Muertes entre checkpoints;Muertes totales;Muertes por enemigos;Muertes por vacío;Enemigos eliminados;Disparos Blaster;Acertados Blaster;Fallados Blaster;Precisión Blaster (%);Disparos Escopeta;Acertados Escopeta;Fallados Escopeta;Precisión Escopeta (%);Disparos Totales;Acertados Totales;Fallados Totales;Precisión Total (%)
Checkpoint_1;0.00;0.00;0;0;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_2;85.22;85.22;0;0;0;0;6;57;42;15;73.7;0;0;0;0.0;57;42;15;73.7
Checkpoint_3;129.42;44.20;0;0;0;0;0;30;27;3;90.0;0;0;0;0.0;30;27;3;90.0
Checkpoint_4;225.88;96.46;2;2;0;2;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_5;268.40;42.52;0;2;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_6;981.02;712.62;4;6;4;0;29;758;565;193;74.5;69;5;64;7.2;827;570;257;68.9
Checkpoint_7;991.02;10.00;0;6;0;0;4;0;0;0;0.0;5;5;0;100.0;5;5;0;100.0
Checkpoint_8;1018.32;27.30;0;6;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_9;1034.82;16.50;0;6;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Checkpoint_10;1041.12;6.30;0;6;0;0;0;0;0;0;0.0;0;0;0;0.0;0;0;0;0.0
Final_Level;1075.56;34.44;0;6;0;0;2;51;44;7;86.3;14;8;6;57.1;65;52;13;80.0
