AttemptID;RetryNumber;WaveNumber;Death;CurrentJitter;SmoothedJitter;IsHard;JitterPeak;JitterVariance;JitterStdDev;JitterEvents;OvershootCount;JitterArea;JitterDirectionBias;JitterClusters
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
