AttemptID;RetryNumber;WaveNumber;Death;CurrentJitter;SmoothedJitter;IsHard;JitterPeak;JitterVariance;JitterStdDev;JitterEvents;OvershootCount;JitterArea;JitterDirectionBias;JitterClusters
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;0.1009;0.3020;0;1.1431;0.1179;0.3434;0;10;6.5480;0.1009;0
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;NoMovement
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
1;0;0;0;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
