AttemptID;RetryNumber;WaveNumber;Death;CurrentJitter;SmoothedJitter;IsHard;JitterPeak;JitterVariance;JitterStdDev;JitterEvents;OvershootCount;JitterArea;JitterDirectionBias;JitterClusters
WaveFailTime;0;132.6379
WaveFailTime;0;192.9263
WaveFailTime;0;228.4648
WaveFailTime;0;247.5900
WaveFailTime;0;364.2600
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;0.5754;0.5248;0;0.6867;0.0351;0.1874;0;3;4.8628;0.5754;0
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;0.6632;0.5782;0;1.0334;0.0795;0.2819;0;5;5.0293;0.0878;0
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;0.6243;0.4116;0;0.9119;0.0790;0.2810;0;5;4.0548;-0.0389;0
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;0.5620;0.4559;0;0.9720;0.0911;0.3019;0;5;4.1435;-0.0623;0
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;0.1282;0.0521;0;0.3304;0.0152;0.1233;0;4;1.3152;-0.4338;0
6;5;0;1;0.0000;0.4355;0;0.9446;0.0659;0.2568;0;5;5.3220;-0.1282;0
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;0.6218;0.5827;0;0.8749;0.0123;0.1109;0;5;5.7770;0.6218;0
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;1.8529;0.4751;0;1.8529;0.2290;0.4785;0;5;6.5310;1.2311;0
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;0.5651;0.4403;0;0.9048;0.0995;0.3154;0;5;4.4050;-1.2878;0
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
6;5;0;1;0.5436;0.4159;0;0.6623;0.0529;0.2301;0;3;3.4467;-0.0215;0
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
6;5;0;1;---;---;---;---;---;---;---;---;---;---;---;OutOfAngle
