AttemptID;RetryNumber;WaveNumber;Death;CurrentJitter;SmoothedJitter;IsHard;JitterPeak;JitterVariance;JitterStdDev;JitterEvents;OvershootCount;JitterArea;JitterDirectionBias;JitterClusters
WaveFailTime;0;172.6331
WaveFailTime;0;202.8955
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;0.6450;0.3799;0;1.1640;0.0903;0.3005;0;6;4.9627;0.6450;0
TimeToTargetHit;0;Enemy1_Wave0_BOT_rotador;1.2078
3;2;0;1;0.4481;0.4730;0;0.6561;0.0083;0.0912;0;8;6.1945;-0.1969;0
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;0.6343;0.3039;0;0.6343;0.0364;0.1908;0;6;3.8889;0.1862;0
3;2;0;1;0.4631;0.4989;0;0.7866;0.0100;0.0999;0;6;6.2587;-0.1712;0
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;0.3171;0.3959;0;0.7811;0.0445;0.2111;0;6;4.3555;-0.1460;0
3;2;0;1;0.2654;0.2638;0;0.4015;0.0032;0.0567;0;7;3.2975;-0.0517;0
3;2;0;1;0.4229;0.4761;0;0.6429;0.0192;0.1387;0;5;5.4230;0.1575;0
3;2;0;1;0.3438;0.5010;0;1.0779;0.0495;0.2224;0;4;5.0586;-0.0791;0
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
3;2;0;1;---;---;---;---;---;---;---;---;---;---;---;NoMovement
