AttemptID;SegmentId;TotalDuration_s;AverageAngle_deg;TimeLookingAway_s;PercentTimeLookingAway;ReorientationCount;EndedInDeath;TargetPlatform
1;JetpackSegment_1;1.245557;16.79276;0;0;0;0;TargetAnchor1
1;JetpackSegment_2;1.475777;18.96413;0.3119157;0.2113569;0;0;TargetAnchor2
1;JetpackSegment_3;1.386812;14.25533;0.2651269;0.1911772;0;0;TargetAnchor3
1;JetpackSegment_4;2.898724;19.41709;0.2662925;0.09186543;0;1;TargetAnchor4
2;JetpackSegment_5;1.338723;20.24791;0.393856;0.2942027;0;0;TargetAnchor1
2;JetpackSegment_6;1.207239;22.29517;0.4624482;0.3830628;0;0;TargetAnchor2
2;JetpackSegment_7;1.38999;10.96674;0;0;0;0;TargetAnchor3
2;JetpackSegment_8;1.893754;18.95369;0.5622972;0.2969221;0;0;TargetAnchor4
2;JetpackSegment_9;1.622567;23.48679;0.4902166;0.3021241;0;0;TargetAnchor5
2;JetpackSegment_10;1.969757;11.78793;0.2395115;0.1215944;0;0;TargetAnchor6
2;JetpackSegment_11;1.842126;10.23549;0.2064544;0.112074;0;0;TargetAnchor7
2;JetpackSegment_12;2.505592;86.84813;1.618101;0.6457959;0;0;TargetAnchor8
