AttemptID;SegmentId;TotalDuration_s;AverageAngle_deg;TimeLookingAway_s;PercentTimeLookingAway;ReorientationCount;EndedInDeath;TargetPlatform
1;JetpackSegment_1;1.725722;50.97035;1.068802;0.6193364;0;0;TargetAnchor1
2;JetpackSegment_3;1.257557;14.52124;0;0;0;1;TargetAnchor1
2;JetpackSegment_4;1.25399;27.0694;0.6391816;0.5097184;0;0;TargetAnchor2
2;JetpackSegment_5;1.622783;52.55664;1.376934;0.8485013;0;0;TargetAnchor3
2;JetpackSegment_6;1.538009;32.61227;0.9567838;0.6220925;0;0;TargetAnchor4
3;JetpackSegment_8;2.150161;59.77401;1.608961;0.7482979;0;1;TargetAnchor1
4;JetpackSegment_9;0.0970829;42.24107;0.0970829;1;0;1;TargetAnchor1
5;JetpackSegment_10;1.524703;55.3415;0.9934018;0.6515381;0;0;TargetAnchor1
6;JetpackSegment_12;1.819262;48.39309;1.263669;0.6946052;0;1;TargetAnchor1
6;JetpackSegment_13;1.874038;44.28175;1.254498;0.6694093;0;0;TargetAnchor2
6;JetpackSegment_14;1.794725;66.88528;1.327573;0.7397081;0;1;TargetAnchor3
8;JetpackSegment_16;2.063697;60.15255;1.490685;0.7223372;0;1;TargetAnchor1
9;JetpackSegment_17;1.18826;21.6223;0.4467023;0.3759299;0;0;TargetAnchor1
9;JetpackSegment_18;1.251073;33.62553;0.6571871;0.525299;0;0;TargetAnchor2
9;JetpackSegment_19;2.691053;72.81375;2.344452;0.8712025;0;1;TargetAnchor3
