AttemptID;SegmentId;TotalDuration_s;AverageAngle_deg;TimeLookingAway_s;PercentTimeLookingAway;ReorientationCount;EndedInDeath;TargetPlatform
1;JetpackSegment_2;1.214308;19.13337;0.2235898;0.1841293;0;0;TargetAnchor1
1;JetpackSegment_3;1.556122;30.20551;0.6738433;0.4330274;0;0;TargetAnchor2
1;JetpackSegment_4;1.278214;33.55408;0.7007078;0.5481929;0;0;TargetAnchor3
1;JetpackSegment_5;2.75347;19.33118;0.6502526;0.2361575;0;0;TargetAnchor4
1;JetpackSegment_6;2.295302;23.59453;0.7884478;0.343505;0;0;TargetAnchor5
1;JetpackSegment_7;1.895074;47.38689;1.452717;0.7665752;0;1;TargetAnchor6
2;JetpackSegment_8;2.398648;33.70906;1.551013;0.6466199;0;0;TargetAnchor1
2;JetpackSegment_9;1.839241;31.3865;1.222631;0.6647475;0;0;TargetAnchor2
2;JetpackSegment_10;2.663213;15.94515;0.0771864;0.02898243;0;0;TargetAnchor3
2;JetpackSegment_11;2.575905;14.59914;0.2626956;0.1019819;0;0;TargetAnchor4
