AttemptID;SegmentId;TotalDuration_s;AverageAngle_deg;TimeLookingAway_s;PercentTimeLookingAway;ReorientationCount;EndedInDeath;TargetPlatform
4;JetpackSegment_12;1.32448;16.18586;0.1618983;0.1222353;0;0;TargetAnchor1
4;JetpackSegment_13;1.480168;17.86042;0.228401;0.1543074;0;0;TargetAnchor2
5;JetpackSegment_15;1.073946;12.64357;0;0;0;1;TargetAnchor1
5;JetpackSegment_16;0.0823857;30.53792;0.0423952;0.5145942;0;1;TargetAnchor1
6;JetpackSegment_17;1.513076;56.56884;1.194104;0.7891897;0;0;TargetAnchor1
6;JetpackSegment_18;1.918273;51.26093;1.41083;0.7354689;0;0;TargetAnchor2
6;JetpackSegment_19;3.178641;42.4381;1.823864;0.5737875;0;1;TargetAnchor3
7;JetpackSegment_20;1.865168;59.47081;1.556011;0.8342474;0;1;TargetAnchor1
8;JetpackSegment_21;1.375726;40.19364;0.6918457;0.5028948;0;0;TargetAnchor1
9;JetpackSegment_23;1.709892;46.45396;1.158051;0.6772658;0;1;TargetAnchor1
9;JetpackSegment_24;1.816124;46.49472;1.119775;0.6165741;0;0;TargetAnchor2
9;JetpackSegment_25;1.372139;36.08072;1.372139;1;0;1;TargetAnchor3
