AttemptID;SegmentId;TotalDuration_s;AverageAngle_deg;TimeLookingAway_s;PercentTimeLookingAway;ReorientationCount;EndedInDeath;TargetPlatform
8;JetpackSegment_21;0.8063729;20.86013;0.236801;0.2936619;0;0;TargetAnchor1
8;JetpackSegment_22;1.42792;48.54085;1.104511;0.7735109;0;0;TargetAnchor2
8;JetpackSegment_23;1.960511;38.75284;1.294476;0.660275;0;1;TargetAnchor3
9;JetpackSegment_24;1.098933;27.76866;0.5334506;0.4854259;0;0;TargetAnchor1
9;JetpackSegment_25;2.182908;56.6179;1.615345;0.7399967;0;1;TargetAnchor2
10;JetpackSegment_26;1.819601;40.967;1.192966;0.6556196;0;0;TargetAnchor1
10;JetpackSegment_27;1.585778;45.64928;0.76612;0.4831194;0;0;TargetAnchor2
10;JetpackSegment_28;1.065531;22.10887;0.2266256;0.212688;0;0;TargetAnchor3
10;JetpackSegment_29;2.691544;12.72284;0;0;0;1;TargetAnchor4
11;JetpackSegment_30;1.58818;43.151;1.176418;0.7407333;0;0;TargetAnchor1
11;JetpackSegment_31;1.877834;53.89465;1.368832;0.7289417;0;0;TargetAnchor2
11;JetpackSegment_32;1.520943;38.34552;1.151608;0.7571673;0;0;TargetAnchor3
11;JetpackSegment_33;1.468603;26.43947;0.7275481;0.4954016;0;0;TargetAnchor4
11;JetpackSegment_34;0.4902136;7.185486;0;0;0;1;TargetAnchor5
12;JetpackSegment_35;1.271867;30.8425;0.6626821;0.5210308;0;0;TargetAnchor1
12;JetpackSegment_36;0.9113573;25.09007;0.3876485;0.425353;0;0;TargetAnchor2
12;JetpackSegment_37;1.221558;40.51423;0.924764;0.7570366;0;0;TargetAnchor3
12;JetpackSegment_38;1.821765;36.05686;1.143483;0.6276786;0;0;TargetAnchor4
12;JetpackSegment_39;1.774598;41.56628;1.256393;0.7079872;0;0;TargetAnchor5
12;JetpackSegment_40;1.547769;30.70648;0.8988422;0.580734;0;0;TargetAnchor6
12;JetpackSegment_41;1.933427;40.63492;1.335955;0.690978;0;0;TargetAnchor7
12;JetpackSegment_42;2.115282;95.44385;2.115282;1;0;0;TargetAnchor8
