AttemptID;SegmentId;TotalDuration_s;AverageAngle_deg;TimeLookingAway_s;PercentTimeLookingAway;ReorientationCount;EndedInDeath;TargetPlatform
1;JetpackSegment_2;1.350791;28.57801;0.6844793;0.506725;0;0;TargetAnchor1
1;JetpackSegment_3;1.346661;23.98429;0.4413134;0.3277094;0;0;TargetAnchor2
2;JetpackSegment_5;1.346717;41.63598;0.8977994;0.6666576;0;1;TargetAnchor1
2;JetpackSegment_6;1.362064;37.27855;0.7717731;0.5666202;0;0;TargetAnchor2
2;JetpackSegment_7;1.402009;31.22341;0.6166205;0.4398121;0;0;TargetAnchor3
2;JetpackSegment_8;1.947939;24.12466;0.5495552;0.2821214;0;0;TargetAnchor4
2;JetpackSegment_9;1.566738;16.97749;0.3611111;0.230486;0;0;TargetAnchor5
2;JetpackSegment_10;2.178515;28.13929;0.9881425;0.4535854;0;0;TargetAnchor6
2;JetpackSegment_11;2.900325;124.1547;2.900325;1;0;1;TargetAnchor7
3;JetpackSegment_12;1.235158;37.62814;0.7750728;0.6275091;0;0;TargetAnchor1
3;JetpackSegment_13;1.453714;24.80337;0.4340938;0.2986102;0;1;TargetAnchor2
4;JetpackSegment_14;1.068252;25.79462;0.4475237;0.4189306;0;0;TargetAnchor1
4;JetpackSegment_15;1.117667;26.63553;0.5067863;0.4534322;0;0;TargetAnchor2
4;JetpackSegment_16;1.415463;18.98516;0.3651163;0.2579482;0;0;TargetAnchor3
4;JetpackSegment_17;1.803987;26.16404;0.6568549;0.3641128;0;0;TargetAnchor4
4;JetpackSegment_18;1.585915;29.65013;0.7657772;0.4828615;0;0;TargetAnchor5
4;JetpackSegment_19;1.797165;21.68142;0.5485427;0.3052268;0;0;TargetAnchor6
4;JetpackSegment_20;1.599579;18.51403;0.5266683;0.3292543;0;0;TargetAnchor7
4;JetpackSegment_21;2.367796;99.57729;1.714418;0.7240567;0;0;TargetAnchor8
