AttemptID;SegmentId;TotalDuration_s;AverageAngle_deg;TimeLookingAway_s;PercentTimeLookingAway;ReorientationCount;EndedInDeath;TargetPlatform
1;JetpackSegment_2;1.471733;27.78372;0.6039091;0.4103389;0;0;TargetAnchor1
1;JetpackSegment_3;1.455079;19.13951;0.3438824;0.2363324;0;0;TargetAnchor2
1;JetpackSegment_4;0.1780892;46.99502;0.1780892;1;0;1;TargetAnchor3
2;JetpackSegment_5;1.065824;41.09472;0.7604367;0.7134733;0;0;TargetAnchor1
2;JetpackSegment_6;1.378633;30.62318;0.7251146;0.5259664;0;0;TargetAnchor2
2;JetpackSegment_7;1.391208;25.41865;0.5756096;0.413748;0;0;TargetAnchor3
2;JetpackSegment_8;1.786377;19.42056;0.4802189;0.2688228;0;0;TargetAnchor4
2;JetpackSegment_9;1.687068;29.26761;0.9244349;0.5479537;0;0;TargetAnchor5
2;JetpackSegment_10;0.2558266;23.34819;0.0256514;0.1002687;0;1;TargetAnchor6
3;JetpackSegment_11;1.644396;32.7307;1.142996;0.695086;0;0;TargetAnchor1
3;JetpackSegment_12;1.268277;27.88079;0.6369696;0.5022324;0;0;TargetAnchor2
