AttemptID;SegmentId;TotalDuration_s;AverageAngle_deg;TimeLookingAway_s;PercentTimeLookingAway;ReorientationCount;EndedInDeath;TargetPlatform
1;JetpackSegment_4;1.262626;38.78159;0.7608409;0.602586;0;0;TargetAnchor1
1;JetpackSegment_5;2.172698;34.4845;0.8958231;0.412309;0;0;TargetAnchor2
1;JetpackSegment_6;1.137259;14.25964;0.1131033;0.09945256;0;0;TargetAnchor3
1;JetpackSegment_7;2.120168;25.42772;0.5976973;0.2819103;0;0;TargetAnchor4
1;JetpackSegment_8;1.619581;17.61214;0.2559536;0.158037;0;0;TargetAnchor5
1;JetpackSegment_9;1.744514;18.22269;0;0;0;0;TargetAnchor6
1;JetpackSegment_10;1.789686;36.88621;0.9069952;0.5067902;0;0;TargetAnchor7
2;JetpackSegment_12;2.302461;31.35175;1.025946;0.4455866;0;1;TargetAnchor1
2;JetpackSegment_13;1.188747;17.49333;0.0687304;0.05781752;0;0;TargetAnchor2
2;JetpackSegment_14;1.15258;15.09144;0.1523135;0.1321501;0;0;TargetAnchor3
2;JetpackSegment_15;1.651413;11.99531;0;0;0;0;TargetAnchor4
2;JetpackSegment_16;1.699729;19.70307;0.4371704;0.2572001;0;0;TargetAnchor5
2;JetpackSegment_17;1.909834;12.4808;0.1628588;0.08527378;0;0;TargetAnchor6
2;JetpackSegment_18;1.561053;13.76158;0;0;0;0;TargetAnchor7
2;JetpackSegment_19;1.82978;128.756;1.82978;1;0;0;TargetAnchor8
2;JetpackSegment_20;1.730039;168.9524;1.730039;1;0;1;TargetAnchor7
3;JetpackSegment_21;1.396188;38.06451;0.6375859;0.4566621;0;0;TargetAnchor1
3;JetpackSegment_22;1.181136;18.96418;0.3146924;0.2664321;0;0;TargetAnchor2
3;JetpackSegment_23;1.132528;13.94349;0.1049907;0.09270472;0;0;TargetAnchor3
3;JetpackSegment_24;1.886247;31.8375;0.3455114;0.183174;0;0;TargetAnchor4
3;JetpackSegment_25;2.095412;36.24318;1.023287;0.4883462;0;0;TargetAnchor5
3;JetpackSegment_26;1.869387;24.02789;0.7384313;0.3950125;0;0;TargetAnchor6
3;JetpackSegment_27;2.033672;16.74653;0.5304689;0.2608429;0;0;TargetAnchor7
4;JetpackSegment_29;1.077843;11.70027;0;0;0;1;TargetAnchor1
4;JetpackSegment_30;1.014686;13.31329;0;0;0;0;TargetAnchor2
4;JetpackSegment_31;1.568956;24.11323;0.3277307;0.2088846;0;0;TargetAnchor3
4;JetpackSegment_32;1.968131;23.71708;0.5175549;0.2629678;0;0;TargetAnchor4
4;JetpackSegment_33;1.592677;22.69455;0.2063959;0.1295905;0;0;TargetAnchor5
4;JetpackSegment_34;1.908225;17.85592;0.2377101;0.1245713;0;0;TargetAnchor6
4;JetpackSegment_35;1.596177;35.65903;0.493329;0.3090691;0;1;TargetAnchor7
5;JetpackSegment_36;1.371892;25.63368;0.2676049;0.1950627;0;0;TargetAnchor1
5;JetpackSegment_37;1.284447;20.19833;0.0422134;0.03286505;0;0;TargetAnchor2
5;JetpackSegment_38;1.353612;16.95122;0.1794612;0.1325795;0;0;TargetAnchor3
5;JetpackSegment_39;0.3100325;48.50447;0.3100325;1;0;1;TargetAnchor4
6;JetpackSegment_40;1.373115;38.76541;0.7342433;0.5347282;0;0;TargetAnchor1
6;JetpackSegment_41;1.388882;32.64073;0.6146865;0.4425765;0;0;TargetAnchor2
6;JetpackSegment_42;1.685141;16.32269;0.1793186;0.1064116;0;0;TargetAnchor3
