AttemptID;SegmentId;TotalDuration_s;AverageAngle_deg;TimeLookingAway_s;PercentTimeLookingAway;ReorientationCount;EndedInDeath;TargetPlatform
1;JetpackSegment_2;2.545046;50.01521;1.529472;0.6009606;0;0;TargetAnchor1
1;JetpackSegment_3;2.517701;21.1517;0.4784291;0.1900262;0;0;TargetAnchor2
1;JetpackSegment_4;1.071753;18.83398;0.2485061;0.2318688;0;0;TargetAnchor3
1;JetpackSegment_5;2.361455;31.58574;2.361455;1;0;0;TargetAnchor4
1;JetpackSegment_6;1.627279;30.56498;0.6100414;0.3748844;0;0;TargetAnchor4
1;JetpackSegment_7;2.799999;151.6584;2.799999;1;0;1;TargetAnchor5
2;JetpackSegment_8;2.537068;19.51594;0.3;0.1182467;0;0;TargetAnchor1
2;JetpackSegment_9;0.6155895;4.949589;0;0;0;0;TargetAnchor1
2;JetpackSegment_10;0.9307931;3.038609;0;0;0;0;TargetAnchor1
2;JetpackSegment_11;1.006002;15.75419;0;0;0;0;TargetAnchor1
