AttemptID;SegmentId;TotalDuration_s;AverageAngle_deg;TimeLookingAway_s;PercentTimeLookingAway;ReorientationCount;EndedInDeath;TargetPlatform
1;JetpackSegment_2;0.6596283;101.6476;0.6596283;1;0;0;TargetAnchor1
1;JetpackSegment_3;0.9516239;115.1329;0.9516239;1;0;0;TargetAnchor1
1;JetpackSegment_4;1.525893;104.5648;1.525893;1;0;0;TargetAnchor1
1;JetpackSegment_5;1.241983;126.4812;1.241983;1;0;0;TargetAnchor1
1;JetpackSegment_6;3.024551;159.3739;3.024551;1;0;1;TargetAnchor1
2;JetpackSegment_7;1.177394;108.7671;1.177394;1;0;0;TargetAnchor1
2;JetpackSegment_8;1.532238;112.4598;1.532238;1;0;0;TargetAnchor1
2;JetpackSegment_9;1.612436;176.1778;1.612436;1;0;0;TargetAnchor1
2;JetpackSegment_10;2.491158;170.307;2.491158;1;0;0;TargetAnchor1
2;JetpackSegment_11;2.524491;148.8803;2.524491;1;0;1;TargetAnchor1
3;JetpackSegment_12;0.8398644;169.2672;0.8398644;1;0;0;TargetAnchor1
3;JetpackSegment_13;0.7910124;172.0006;0.7910124;1;0;0;TargetAnchor1
3;JetpackSegment_14;0.8297978;175.7444;0.8297978;1;0;0;TargetAnchor1
3;JetpackSegment_15;1.388704;175.616;1.388704;1;0;0;TargetAnchor1
3;JetpackSegment_16;0.8323292;176.0283;0.8323292;1;0;0;TargetAnchor1
3;JetpackSegment_17;2.975549;138.2527;2.975549;1;0;1;TargetAnchor1
