AttemptID;LapID;LapDuration_s;AttemptDuration_s;LapProgress_0_1;DeathOccurred;MeanDeviation_m;SpeedSD_mps;MicroCorrectionsRate_per_s;ObstacleHitRate
8;1;25.757;107.452;0.597;1;18.9164;4.4793;3.3777;0.154
9;1;21.774;35.917;0.706;1;5.8932;4.7759;5.1437;0.231
10;1;12.390;22.696;0.530;1;9.0327;4.2931;4.5198;0.077
12;1;17.580;27.887;0.541;1;13.8423;6.0973;4.7782;0.154
13;1;16.538;25.198;0.585;1;9.6375;3.9729;3.9303;0.077
14;1;7.916;17.998;0.456;1;6.6009;5.5148;4.6738;0.000
16;1;9.976;21.452;0.482;1;6.9053;1.5109;1.5036;0.077
18;1;11.753;21.059;0.479;1;7.3989;5.3443;3.7437;0.154
19;1;26.360;39.567;1.000;0;8.3610;4.6102;6.0698;0.538
19;2;10.347;63.054;0.416;1;11.0770;4.9277;1.0631;0.077
