AttemptID;LapID;LapDuration_s;AttemptDuration_s;LapProgress_0_1;DeathOccurred;MeanDeviation_m;SpeedSD_mps;MicroCorrectionsRate_per_s;ObstacleHitRate
34;1;20.433;56.971;0.590;1;11.4184;5.6607;2.4960;0.385
35;1;20.949;32.136;0.735;1;9.7390;3.7540;1.6230;0.308
36;1;14.295;27.287;0.566;1;6.9270;4.3146;1.7488;0.231
37;1;16.058;25.663;0.505;1;14.3504;4.2611;2.1796;0.231
38;1;14.256;23.038;0.527;1;9.9792;3.2520;1.4731;0.077
39;1;18.844;28.148;0.590;1;8.6455;5.0766;3.6615;0.308
40;1;19.872;31.488;0.686;1;7.7827;4.2535;3.5729;0.385
41;1;21.290;30.218;0.780;1;9.2851;3.1777;1.8788;0.231
42;1;24.917;34.627;0.841;1;8.1926;3.3638;2.3277;0.538
43;1;15.299;25.902;0.515;1;9.5590;4.7755;1.0458;0.154
44;1;20.397;29.858;0.686;1;7.5058;3.5067;1.1766;0.154
45;1;21.056;31.279;0.730;1;7.0023;4.3491;2.0897;0.154
46;1;20.852;31.156;0.722;1;7.6621;3.7688;2.8295;0.231
47;1;20.332;31.260;0.692;1;9.0824;3.4109;3.0986;0.077
48;1;23.152;32.420;0.770;1;8.3845;3.2133;4.1033;0.231
49;1;25.580;36.188;1.000;0;9.9341;4.9074;4.9648;0.538
49;2;26.867;76.975;0.973;1;8.8614;3.8364;1.5632;0.308
50;1;21.385;31.177;0.749;1;7.9267;2.9214;1.4029;0.231
51;1;25.545;34.821;0.802;1;10.3932;3.9386;3.3666;0.462
52;1;28.916;38.271;1.000;1;8.1687;4.0878;3.7004;0.385
53;1;25.351;34.275;0.988;1;7.2988;4.2854;1.9329;0.308
54;1;25.720;35.509;1.000;0;10.7834;3.8148;3.2659;0.231
54;2;21.958;71.427;0.650;1;11.6751;5.0652;1.5029;0.231
