EventType;SegmentID;ElementID;TimeOnPlatform;RelativePositionStd;RelativePositionMean;RelativePositionMax;RelativePositionMin;SampleCount;EdgeRiskTime;CorrectionPeaks;ObstacleType;ClearType;MinClearance;MicroCorrections;ObstacleDuration
DEATH;;;;;;;;;;;;;;;
Platform;0;0;2.47;0.7236;2.3352;3.6998;1.6292;38;0.00;1;7
Platform;0;0;3.16;0.4795;1.6526;2.5972;0.5383;52;1.42;4;8
Platform;1;0;0.90;0.1716;6.4495;6.6500;6.2336;14;0.19;0;2
Platform;1;0;5.69;0.3838;7.1827;7.9969;6.4922;96;2.95;0;10
Platform;2;0;0.37;0.9544;8.7018;10.0547;7.3914;5;0.00;4;0
Platform;2;0;0.09;0.0000;10.3267;10.3267;10.3267;1;0.00;0;0
Platform;2;0;1.59;0.2529;9.4830;10.2692;9.3182;19;0.00;1;5
Platform;2;0;1.66;0.1096;9.6781;9.8384;9.3418;22;0.34;0;10
Platform;2;0;0.08;0.0000;5.7163;5.7163;5.7163;1;0.00;0;0
Platform;2;0;4.29;0.5381;9.1419;9.7525;8.0774;63;0.45;2;17
Platform;2;0;0.40;0.8343;5.9173;7.2389;4.8953;6;0.00;3;1
