EventType;SegmentID;ElementID;TimeOnPlatform;RelativePositionStd;RelativePositionMean;RelativePositionMax;RelativePositionMin;SampleCount;EdgeRiskTime;CorrectionPeaks;ObstacleType;ClearType;MinClearance;MicroCorrections;ObstacleDuration
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
Platform;0;0;0.48;0.4833;1.3131;2.6215;0.9004;19;0.14;0;2
Platform;0;0;0.30;0.3674;5.0387;5.5911;4.4498;13;0.00;0;1
Platform;0;0;2.16;0.2272;4.3477;4.6545;4.0937;91;0.84;0;5
Platform;1;0;0.25;0.5778;6.2408;7.2342;5.4052;10;0.13;0;0
Platform;1;0;0.09;0.2191;8.8108;9.0548;8.4905;4;0.00;0;1
Platform;1;0;1.44;1.3715;5.6702;7.9216;2.8550;61;1.00;0;4
DEATH;;;;;;;;;;;;;;;
Platform;2;0;0.04;0.0000;5.5717;5.5717;5.5717;1;0.00;0;0
Platform;2;0;2.18;0.4496;7.7784;9.0118;6.5942;48;0.33;1;15
DEATH;;;;;;;;;;;;;;;
Platform;2;0;0.05;0.0000;4.6627;4.6627;4.6627;1;0.00;0;0
Platform;2;0;1.09;0.5471;5.7300;6.4341;4.9928;25;0.11;0;3
Platform;2;0;0.12;0.0843;5.4134;5.5172;5.3107;3;0.00;0;0
Platform;2;0;0.13;0.0644;3.8754;3.9542;3.7966;3;0.00;0;1
Platform;2;0;0.04;0.0000;1.8892;1.8892;1.8892;1;0.00;0;0
Platform;2;0;0.04;0.0000;6.7948;6.7948;6.7948;1;0.00;0;0
Platform;2;0;0.04;0.0000;6.9962;6.9962;6.9962;1;0.00;0;0
Platform;2;0;0.60;0.6086;3.7459;4.4968;2.8205;15;0.00;0;1
DEATH;;;;;;;;;;;;;;;
