EventType;SegmentID;ElementID;TimeOnPlatform;RelativePositionStd;RelativePositionMean;RelativePositionMax;RelativePositionMin;SampleCount;EdgeRiskTime;CorrectionPeaks;ObstacleType;ClearType;MinClearance;MicroCorrections;ObstacleDuration
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
Platform;0;0;0.02;0.0000;5.0361;5.0361;5.0361;1;0.00;0;0
Platform;0;0;3.02;1.0304;1.3007;3.0378;0.2412;181;1.09;0;3
Platform;0;0;1.03;1.1843;1.9291;4.3557;0.2486;62;0.08;0;4
Platform;1;0;1.12;0.0384;7.3478;7.3765;7.1473;67;0.08;0;0
Platform;1;0;2.29;0.8809;7.2926;10.4420;6.7657;135;0.00;0;2
Platform;2;0;0.04;0.0000;8.0995;8.0995;8.0995;1;0.00;0;0
Platform;2;0;2.70;0.8486;9.5412;11.1991;8.1446;86;1.01;0;3
Platform;2;0;4.34;0.3498;6.3768;8.2809;6.1519;151;0.20;0;4
Platform;2;0;0.22;0.0108;7.5510;7.5647;7.5366;8;0.03;0;0
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
