EventType;SegmentID;ElementID;TimeOnPlatform;RelativePositionStd;RelativePositionMean;RelativePositionMax;RelativePositionMin;SampleCount;EdgeRiskTime;CorrectionPeaks;ObstacleType;ClearType;MinClearance;MicroCorrections;ObstacleDuration
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;;;
Platform;0;0;2.08;0.0392;1.7972;1.9443;1.6886;51;0.00;0;3
Platform;0;0;1.87;0.7638;1.9910;4.5703;1.0729;45;0.67;0;4
DEATH;;;;;;;;;;;;;;;
Platform;0;0;4.03;0.5272;2.4453;5.1470;2.2444;90;0.50;0;2
DEATH;;;;;;;;;;;;;;;
Platform;0;0;0.05;0.0000;4.2895;4.2895;4.2895;1;0.00;0;0
DEATH;;;;;;;;;;;;;;;
