EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
GATE;4;4;4;2.8800;3.9200;1.0400;1;1;0.1000;3;0.5000;0.0000;0.7946;0.0000;0;0;0
GATE;5;5;5;4.0200;5.2200;1.2000;1;1;0.6200;3;0.3800;0.0000;0.0000;0.4905;0;0;0
GATE;5;5;5;5.3000;5.3800;0.0800;1;0;0.0000;0;-1.0000;0.0000;0.0000;0.0793;0;0;0
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
GATE;4;4;4;47.0600;48.1200;1.0600;1;1;0.1800;3;0.4600;0.0000;0.7809;0.0000;0;0;0
GATE;5;5;5;48.1200;49.3400;1.2200;1;1;0.5400;3;0.5000;0.0000;0.0000;0.5292;0;0;0
DEATH;;;;;;;;;;;;;
