EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
GATE;1;1;1;41.6600;43.6400;1.9800;1;1;0.7000;2;1.2600;0.0000;0.0000;0.5980;0;0;0
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
GATE;1;1;1;74.7000;76.5200;1.8200;1;1;0.2600;3;0.7800;0.0000;0.0000;0.9966;0;0;0
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
