EventType;AttemptID;SegmentID;GateID;EntryTime;ExitTime;TimeToClear_s;Cleared;ObstacleTouched;ContactDuration_s;ContactCount;FirstContactTime_s;JetpackActiveTime_s;CrouchTime_s;AirborneTime_s;ContactX;ContactY;ContactZ
DEATH;;;;;;;;;;;;;
GATE;1;1;1;23.9800;25.7800;1.8000;1;1;0.2000;3;0.7600;0.0000;1.5552;0.0000;0;0;0
DEATH;;;;;;;;;;;;;
DEATH;;;;;;;;;;;;;
