AttemptID;SegmentId;TargetPlatform;LandingOffset_m;LandingOffset_Forward_m;LandingOffset_Side_m;SafetyMargin_m;VerticalSpeed_mps;ApproachAngle_deg;MicroCorrections_0_5s;PreLandingHorizontalJitter;PostStabilizationTime_s;PostLandingDrift_m;LandingFailed;PostLandingFall;LandingType
1;LandingSegment_1;TargetAnchor1;9.251948;8.052658;-4.555573;0;0;0;0;1.299;0;0;1;1;UnderShoot
2;LandingSegment_2;TargetAnchor1;9.948372;7.347321;6.707233;0;0;0;0;1.063984;0;0;1;1;UnderShoot
3;LandingSegment_3;TargetAnchor1;10.60568;7.238281;7.751633;0;0;0;0;0.6467943;0;0;1;1;LeftSideFall
4;LandingSegment_4;TargetAnchor1;32.76888;-2.648056;32.66171;0;0;0;0;0;0;0;1;1;LeftSideFall
5;LandingSegment_5;TargetAnchor1;1.746499;0.5664368;1.652092;1.274089;-8.522272;0;0;0.2965024;0.748745;2.442716;0;0;CleanLanding
5;LandingSegment_6;TargetAnchor2;1.91978;1.675476;0.9371948;1.434701;-7.995732;0;0;0;1.492332;2.209533;0;0;CleanLanding
5;LandingSegment_7;TargetAnchor3;0.3500006;0.1005859;-0.3352356;2.67721;-9.101513;0;0;0.009836618;0.5789261;0.4886003;0;0;CleanLanding
5;LandingSegment_8;TargetAnchor4;1.162592;1.092194;-0.3984146;1.742997;-15.02981;0;0;0.6634355;0.5458336;0.2858016;0;0;CleanLanding
5;LandingSegment_9;TargetAnchor5;4.70089;4.534561;1.239403;0;-15.02981;0;3;10.43446;0;0;1;1;UnderShoot
6;LandingSegment_10;TargetAnchor1;2.172927;1.68457;1.372528;0.9431005;-11.05018;0;0;0.1895342;1.180473;2.433055;0;0;CleanLanding
6;LandingSegment_11;TargetAnchor2;0.7769825;0.7338104;0.2553902;2.563472;-9.921832;0;0;0.2182775;0.5759964;0.4902552;0;0;CleanLanding
6;LandingSegment_12;TargetAnchor3;1.361824;0.620018;1.212494;1.687921;-8.900475;0;0;0.2048468;0.5729599;0.4661421;0;0;CleanLanding
6;LandingSegment_13;TargetAnchor4;1.042119;0.7495728;0.7239838;1.88379;-8.497246;0;0;0.1718826;1.11113;1.524778;0;0;CleanLanding
6;LandingSegment_14;TargetAnchor5;0.7621905;0.4254456;0.6324005;2.378241;-10.85318;0;0;0.04205857;0.5744171;0.489843;0;0;CleanLanding
