AttemptID;SegmentId;TargetPlatform;LandingOffset_m;LandingOffset_Forward_m;LandingOffset_Side_m;SafetyMargin_m;VerticalSpeed_mps;ApproachAngle_deg;MicroCorrections_0_5s;PreLandingHorizontalJitter;PostStabilizationTime_s;PostLandingDrift_m;LandingFailed;PostLandingFall;LandingType
1;LandingSegment_1;TargetAnchor1;18.87811;8.847275;16.67659;0;0;0;0;0;0;0;1;1;LeftSideFall
2;LandingSegment_2;TargetAnchor1;17.0533;6.955444;15.57038;0;0;0;0;0.4868546;0;0;1;1;LeftSideFall
3;LandingSegment_3;TargetAnchor1;40.90136;39.32782;-11.23581;0;0;0;0;0.6267491;0;0;1;1;UnderShoot
4;LandingSegment_4;TargetAnchor1;30.56633;29.22182;-8.965816;0;0;0;0;0.5663381;0;0;1;1;UnderShoot
5;LandingSegment_5;TargetAnchor1;0.4053988;0.2912445;-0.2820015;2.724533;-4.42696;0;0;0.1676629;0.438488;0;0;0;CleanLanding
5;LandingSegment_6;TargetAnchor2;1.004768;-0.9930267;-0.1531525;2.660956;-8.758738;0;0;0.05694482;0.4012413;0.02076121;0;0;CleanLanding
5;LandingSegment_7;TargetAnchor3;1.861583;-0.5878601;-1.766327;1.096314;-13.94704;0;0;0.5994847;0.4131393;0;0;0;CleanLanding
5;LandingSegment_8;TargetAnchor4;2.119668;-1.976433;-0.7659683;0.9732506;-13.57169;0;0;0.237768;0.4459915;0.02049597;0;0;CleanLanding
5;LandingSegment_9;TargetAnchor5;1.064164;-0.8538513;0.6351242;2.175012;-15.00416;0;0;0;0.4350815;0.01426078;0;0;CleanLanding
5;LandingSegment_10;TargetAnchor6;1.077118;-0.1118355;-1.071297;1.613343;-7.411475;0;0;0.07656077;0.406311;0.02757061;0;0;CleanLanding
5;LandingSegment_11;TargetAnchor7;1.214987;-1.06599;-0.5829735;1.920007;-11.70229;0;0;0;0.4311447;0.008932257;0;0;CleanLanding
