AttemptID;SegmentId;TargetPlatform;LandingOffset_m;LandingOffset_Forward_m;LandingOffset_Side_m;SafetyMargin_m;VerticalSpeed_mps;ApproachAngle_deg;MicroCorrections_0_5s;PreLandingHorizontalJitter;PostStabilizationTime_s;PostLandingDrift_m;LandingFailed;PostLandingFall;LandingType
1;LandingSegment_1;TargetAnchor1;1.074615;-0.1347961;1.066128;1.859568;-17.65748;0;1;1.931247;0;4.41428;1;1;HitThenFall
2;LandingSegment_2;TargetAnchor1;6.962769;-0.8425598;-6.911602;0;-17.65748;0;0;0.00167647;0;0;1;1;RightSideFall
3;LandingSegment_3;TargetAnchor1;8.141083;2.005646;7.89016;0;-17.65748;0;0;1.274228;0;0;1;1;LeftSideFall
4;LandingSegment_4;TargetAnchor1;10.07443;1.247284;9.996923;0;-17.65748;0;0;0;0;0;1;1;LeftSideFall
5;LandingSegment_5;TargetAnchor1;1.91572;1.872711;0.4036522;1.252617;-15.46459;0;0;0.2313454;0.5694847;0.4714646;0;0;CleanLanding
5;LandingSegment_6;TargetAnchor2;10.18263;10.10539;1.251816;0;-15.46459;0;0;1.261808;0;0;1;1;UnderShoot
6;LandingSegment_7;TargetAnchor1;8.527398;-6.436646;-5.593399;0;-15.46459;0;0;1.092734;0;0;1;1;OverShoot
7;LandingSegment_8;TargetAnchor1;2.833369;-0.1577911;2.828972;0.1211441;0.653572;0;0;0;0.7654114;2.678756;0;0;EdgeLanding
7;LandingSegment_9;TargetAnchor2;2.410319;2.110641;1.163971;0.9440341;-5.339549;0;0;0.3214391;0;11.91997;1;1;HitThenFall
7;LandingSegment_10;TargetAnchor4;5.801496;5.404724;2.108627;0;-5.339549;0;2;3.764446;0;0;1;1;UnderShoot
8;LandingSegment_11;TargetAnchor1;1.955688;1.742126;0.8886566;1.187767;-11.79032;0;0;0.3776371;0.5764084;0.480615;0;0;CleanLanding
8;LandingSegment_12;TargetAnchor2;0.8424217;0.8022308;-0.2570992;2.491748;-9.937846;0;0;0.01855929;2.001465;2.838754;0;0;CleanLanding
