AttemptID,SegmentId,TargetPlatform,LandingOffset_m,LandingOffset_Forward_m,LandingOffset_Side_m,SafetyMargin_m,VerticalSpeed_mps,ApproachAngle_deg,MicroCorrections_0_5s,PreLandingHorizontalJitter,PostStabilizationTime_s,PostLandingDrift_m,LandingFailed,PostLandingFall,LandingType
7,LandingSegment_41,TargetAnchor2,1.946818,1.774689,0.8003616,1.400839,-4.979777,0,0,0.8814178,0.6279907,0.849123,0,0,CleanLanding
7,LandingSegment_42,TargetAnchor3,2.878703,1.737267,2.295395,0.2040443,3.696828,0,1,1.637079,1.173767,1.554423,0,0,EdgeLanding
7,LandingSegment_43,TargetAnchor4,0.3365828,0.3365097,-0.007011414,2.563436,-6.888263,0,0,0.1097246,0.5231323,0.1786224,0,0,CleanLanding
7,LandingSegment_44,TargetAnchor5,0.9311336,0.8275833,0.4267502,2.063798,-4.879638,0,1,1.683899,0.4872437,0.08237145,0,0,CleanLanding
7,LandingSegment_45,TargetAnchor6,0.7953007,0.7884064,-0.1044922,2.118119,-4.617815,0,0,0.02289499,0.6753082,1.562068,0,0,CleanLanding
7,LandingSegment_46,TargetAnchor7,1.762518,1.563193,-0.8141861,1.189948,-4.373974,0,0,0.2371242,0.6308899,1.050884,0,0,CleanLanding
7,LandingSegment_47,TargetAnchor8,27.84762,-19.21149,-20.15957,0,-4.373974,0,0,0,0,0,1,1,RightSideFall
8,LandingSegment_48,TargetAnchor1,3.371065,-0.3436432,3.353504,0,3.714864,0,1,1.476272,0.9013062,3.155728,1,0,MissedPlatform_Standing
8,LandingSegment_49,TargetAnchor2,2.471758,1.890411,1.592461,0.9020274,-5.323755,0,0,0.04026813,0.6083527,0.7554622,0,0,CleanLanding
8,LandingSegment_50,TargetAnchor3,1.341723,1.269775,0.4334641,1.810405,-4.562274,0,0,0.04614006,0.55867,0.5223323,0,0,CleanLanding
8,LandingSegment_51,TargetAnchor4,0.7813176,0.7533493,-0.2071762,2.121863,-6.331806,0,0,0.75924,0.5147247,0.1847241,0,0,CleanLanding
8,LandingSegment_52,TargetAnchor5,0.7356021,-0.2119217,0.7044144,2.580379,-7.244063,0,4,6.452006,1.197113,1.260172,0,0,CleanLanding
8,LandingSegment_53,TargetAnchor6,1.04704,0.7154617,0.7644653,2.160825,-4.521019,0,0,0.2775839,0.471344,0.05615488,0,0,CleanLanding
8,LandingSegment_54,TargetAnchor7,3.042256,3.003163,-0.4861412,0,-7.284229,0,1,4.308877,1.190491,4.462183,1,0,MissedPlatform_Standing
8,LandingSegment_55,TargetAnchor8,34.4683,-8.917252,-33.29484,0,-7.284229,0,0,0,0,0,1,1,RightSideFall
9,LandingSegment_56,TargetAnchor1,2.418568,-0.08580017,2.417046,0.538563,-5.940824,0,0,0.1551212,1.182495,3.18669,0,0,CleanLanding
9,LandingSegment_57,TargetAnchor2,2.923533,2.199402,1.926052,0.4528203,-5.70361,0,0,0.04901337,1.071014,4.050473,0,0,CleanLanding
9,LandingSegment_58,TargetAnchor3,2.29355,1.49527,1.73912,0.7975383,-1.942898,0,0,1.151365,0.801178,0.4185378,0,0,CleanLanding
9,LandingSegment_59,TargetAnchor4,1.604175,1.595032,0.1710281,1.296363,-2.600652,0,0,0,0.6029053,1.051321,0,0,CleanLanding
9,LandingSegment_60,TargetAnchor5,2.871318,2.710564,-0.9472656,0,-1.953406,0,0,0,0.640686,1.703626,1,0,MissedPlatform_Standing
9,LandingSegment_61,TargetAnchor6,2.956317,2.956215,-0.02462006,0.03484583,-0.7823156,0,0,0.002809341,0.7663574,2.922779,0,0,EdgeLanding
9,LandingSegment_62,TargetAnchor7,1.791937,1.736353,-0.442852,1.13191,-3.359721,0,0,0.1454168,0.6515808,1.614115,0,0,CleanLanding
9,LandingSegment_63,TargetAnchor8,28.44307,-19.53659,-20.67196,0,-3.359721,0,0,0,0,0,1,1,RightSideFall
10,LandingSegment_64,TargetAnchor1,2.549697,0.1060028,2.547493,0.4214466,0.675941,0,0,0.1384378,0.7845154,3.095362,0,0,CleanLanding
10,LandingSegment_65,TargetAnchor2,3.913839,3.199509,2.254169,0,-5.163344,0,1,1.704445,0.8928833,4.415965,1,0,MissedPlatform_Standing
10,LandingSegment_66,TargetAnchor3,2.661364,2.104713,-1.628815,0.4837689,-3.869792,0,1,2.937973,1.330963,0.591095,0,0,CleanLanding
10,LandingSegment_67,TargetAnchor4,1.496268,1.48716,0.1648483,1.404304,-3.136919,0,0,0,0.6803894,2.00243,0,0,CleanLanding
10,LandingSegment_68,TargetAnchor5,3.043825,2.935226,-0.8058014,0,-1.762031,0,0,0.2517113,0.8490295,3.682233,1,0,MissedPlatform_Standing
10,LandingSegment_69,TargetAnchor6,3.238808,3.069218,-1.034302,0,1.055607,0,0,0,0.7793884,3.018388,1,0,MissedPlatform_Standing
10,LandingSegment_70,TargetAnchor7,2.567824,2.25428,-1.22961,0.3887405,-2.358217,0,0,0,0.8662109,4.049789,0,0,CleanLanding
10,LandingSegment_71,TargetAnchor8,26.59838,-19.0685,-18.54363,0,-2.358217,0,0,0,0,0,1,1,OverShoot
