AttemptID;SegmentId;TargetPlatform;LandingOffset_m;LandingOffset_Forward_m;LandingOffset_Side_m;SafetyMargin_m;VerticalSpeed_mps;ApproachAngle_deg;MicroCorrections_0_5s;PreLandingHorizontalJitter;PostStabilizationTime_s;PostLandingDrift_m;LandingFailed;PostLandingFall;LandingType
2;LandingSegment_1;TargetAnchor1;0.4159704;0.3071747;0.2804909;2.664472;-8.369804;0;0;0.1109458;0.5439758;0.3122558;0;0;CleanLanding
2;LandingSegment_2;TargetAnchor2;0.8315699;0.7040558;0.4425087;2.524791;-10.54292;0;0;0.7229985;0.8082581;0.7192262;0;0;CleanLanding
2;LandingSegment_3;TargetAnchor3;1.044145;-0.1388931;-1.034866;1.939163;-11.31681;0;0;0;0.5686493;0.3647866;0;0;CleanLanding
2;LandingSegment_4;TargetAnchor4;0.6226048;-0.5461578;-0.298912;2.462965;-11.56443;0;0;0;0.5531616;0.3636726;0;0;CleanLanding
2;LandingSegment_5;TargetAnchor5;0.6828761;-0.6414261;0.2342911;2.4546;-11.71819;0;0;0.002198038;0.5496368;0.3584502;0;0;CleanLanding
2;LandingSegment_6;TargetAnchor6;0.5388597;-0.5124779;0.1665421;2.458184;-14.28292;0;0;0;0.5523682;0.3496773;0;0;CleanLanding
2;LandingSegment_7;TargetAnchor7;0.4728311;0.06721687;-0.468029;2.595763;-13.14336;0;0;0.4507532;0.5415344;0.3313532;0;0;CleanLanding
