AttemptID;SegmentId;TargetPlatform;LandingOffset_m;LandingOffset_Forward_m;LandingOffset_Side_m;SafetyMargin_m;VerticalSpeed_mps;ApproachAngle_deg;MicroCorrections_0_5s;PreLandingHorizontalJitter;PostStabilizationTime_s;PostLandingDrift_m;LandingFailed;PostLandingFall;LandingType
1;LandingSegment_1;TargetAnchor1;1.237425;-0.2395935;-1.214008;1.743843;-15.77583;0;4;6.609898;2.005562;2.613954;0;0;CleanLanding
1;LandingSegment_2;TargetAnchor2;23.33756;20.63423;10.90276;0;-15.77583;0;0;0;0;0;1;1;UnderShoot
2;LandingSegment_3;TargetAnchor1;1.108271;0.2472382;1.080341;1.887625;-13.10521;0;0;1.603423;0.5529442;0.3259102;0;0;CleanLanding
2;LandingSegment_4;TargetAnchor2;1.307219;0.5042725;1.206039;2.126994;-15.06002;0;0;0;1.7686;2.639637;0;0;CleanLanding
2;LandingSegment_5;TargetAnchor3;0.1217635;0.009895325;0.1213608;2.786424;-21.54386;0;0;0.05449016;0.5378494;0.2718674;0;0;CleanLanding
2;LandingSegment_6;TargetAnchor4;1.3218;1.24131;0.4542084;1.583874;-19.66348;0;1;13.1228;0;3.18969;1;1;HitThenFall
3;LandingSegment_7;TargetAnchor1;6.200104;-5.684875;-2.474567;0;-19.66348;0;0;2.154016;0;0;1;1;OverShoot
4;LandingSegment_8;TargetAnchor1;13.28718;-2.679352;13.01423;0;-19.66348;0;0;1.91238;0;0;1;1;LeftSideFall
5;LandingSegment_9;TargetAnchor1;2.465859;-1.377869;-2.044979;0.4530258;-15.69791;0;1;5.056195;0;5.433258;1;1;HitThenFall
6;LandingSegment_10;TargetAnchor1;2.19874;1.90332;-1.10083;0.9710748;-19.43156;0;2;6.502846;2.009995;3.876465;0;0;CleanLanding
6;LandingSegment_11;TargetAnchor2;0.7718251;0.77005;0.05231476;2.559;-20.13894;0;5;5.395579;0.9529572;2.049932;0;0;CleanLanding
6;LandingSegment_12;TargetAnchor3;5.230353;-5.136475;-0.9865189;0;-20.13894;0;0;0.1982349;0;0;1;1;OverShoot
7;LandingSegment_13;TargetAnchor1;40.01323;-3.06134;39.89595;0;-20.13894;0;0;0;0;0;1;1;LeftSideFall
8;LandingSegment_14;TargetAnchor1;7.334329;-7.25177;1.097366;0;-20.13894;0;0;0.06955782;0;0;1;1;OverShoot
9;LandingSegment_15;TargetAnchor1;0.5026531;-0.2637482;-0.4278984;2.403988;-11.58599;0;0;0;0.5458374;0.287125;0;0;CleanLanding
9;LandingSegment_16;TargetAnchor2;0.4957444;-0.4920044;0.06077957;3.174015;-14.37902;0;0;0;0.5133057;0.2189084;0;0;CleanLanding
9;LandingSegment_17;TargetAnchor3;8.425455;-5.283424;-6.563057;0;-14.37902;0;0;0;0;0;1;1;RightSideFall
