AttemptID;SegmentId;TargetPlatform;LandingOffset_m;LandingOffset_Forward_m;LandingOffset_Side_m;SafetyMargin_m;VerticalSpeed_mps;ApproachAngle_deg;MicroCorrections_0_5s;PreLandingHorizontalJitter;PostStabilizationTime_s;PostLandingDrift_m;LandingFailed;PostLandingFall;LandingType
1;LandingSegment_1;TargetAnchor1;2.802281;1.032501;2.605133;0.2303989;-23.6658;0;0;0.004812181;0.5106974;0.1749504;0;0;EdgeLanding
1;LandingSegment_2;TargetAnchor2;1.585368;-1.015778;1.217205;2.025998;-26.35608;0;0;0.02215959;0.5747051;0.4962431;0;0;CleanLanding
1;LandingSegment_3;TargetAnchor3;13.91499;13.69486;2.465271;0;-26.35608;0;0;0;0;0;1;1;UnderShoot
2;LandingSegment_4;TargetAnchor1;2.958037;-0.2696533;2.945721;0;-24.51808;0;1;2.47659;0;0.6702392;1;1;LeftSideFall
3;LandingSegment_5;TargetAnchor1;0.9915941;0.7030334;0.6992874;2.102542;-30.41902;0;0;0;0.5017204;0.1627656;0;0;CleanLanding
3;LandingSegment_6;TargetAnchor2;1.617385;1.080704;1.203335;1.77133;-32.64478;0;0;0.01308311;0;6.120788;1;1;HitThenFall
4;LandingSegment_7;TargetAnchor1;3.591407;0.3821411;3.571018;0;-32.64478;0;1;1.458623;0;0;1;1;LeftSideFall
5;LandingSegment_8;TargetAnchor1;4.935557;-2.514557;4.246967;0;-32.64478;0;2;3.521072;0;0;1;1;LeftSideFall
6;LandingSegment_9;TargetAnchor1;2.001676;0.8365173;1.818501;1.038375;-16.38575;0;0;0.6302491;0.5279732;0.2148379;0;0;CleanLanding
6;LandingSegment_10;TargetAnchor2;25.99005;21.61693;14.42882;0;-32.4725;0;0;0;0.4809799;0.1048998;1;0;MissedPlatform_Standing
