AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
1;31.69955;2.213978;0.01354122;1.917413;5.205897;0.5693868;39.68812;34.25334;12.0458;1;TargetAnchor1
2;40.56232;2.454861;0.07107782;2.655524;6.049998;0.6495756;40.69421;36.43117;12.40862;1;TargetAnchor1
3;47.79248;2.964787;0.01420685;2.46336;5.137641;0.7213099;47.87972;49.86518;22.67846;1;TargetAnchor1
4;56.60506;3.145958;0.7484925;2.481205;5.816748;0.7566201;43.88098;51.18746;22.23035;1;TargetAnchor1
