AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
4;455.5726;1.326141;1;1.945804;8.346839;0.3454145;1.408519;16.08519;8.568638;0;TargetAnchor1
4;459.898;1.486572;1;2.193962;7.781056;0.3358303;2.004856;18.04557;9.835517;0;TargetAnchor2
5;474.8704;1.072449;0.2063187;4.220582;26.61246;0.3961241;34.59931;7.92971;6.748154;0;TargetAnchor1
6;499.0736;1.511841;0.8574533;2.483897;11.69198;0.3616059;3.27196;15.93334;10.19321;0;TargetAnchor1
6;507.3957;1.920807;0.8808377;2.558545;8.714978;0.5198839;3.328269;21.43135;16.00895;0;TargetAnchor2
6;513.3426;3.176208;0.8551268;2.696129;10.22477;0.6666566;10.1665;38.76186;30.21256;1;TargetAnchor3
7;544.7532;1.86853;0.881342;1.933841;6.581502;0.7880561;10.91324;26.7385;20.69591;1;TargetAnchor1
8;558.2075;1.375183;1;2.143176;8.725427;0.3709376;2.852698;16.70244;9.975651;0;TargetAnchor1
9;578.6703;1.705994;0.8710518;2.524319;10.90559;0.4640399;1.996205;20.13791;13.81422;0;TargetAnchor1
9;597.1761;1.814087;0.9601864;2.48675;8.053257;0.5303939;2.662402;22.85032;15.39292;0;TargetAnchor2
9;600.4441;1.356323;0.1686216;8.069077;85.3756;0.3480563;31.05993;5.859787;5.806048;1;TargetAnchor3
