AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
2;120.7861;0.787056;1;3.251319;9.67306;0.2257545;1.079136;9.411388;4.788912;0;TargetAnchor1
2;123.4785;1.371216;1;2.301423;7.198543;0.3296978;0.5286815;15.66563;7.023618;0;TargetAnchor2
2;127.1276;1.360321;1;4.5415;14.98884;0.2455555;0.4863059;14.84661;6.433203;0;TargetAnchor3
2;130.9095;1.292267;1;3.87775;8.017135;0.3450849;0.471215;16.9289;4.192075;0;TargetAnchor4
2;134.4021;1.581024;1;2.863468;8.745884;0.3219885;1.251233;16.69778;4.968334;0;TargetAnchor5
2;138.9166;2.019196;1;2.978454;8.41335;0.4411989;0.5926993;23.365;9.977691;0;TargetAnchor6
2;143.2793;1.905411;1;3.546375;10.46586;0.4514914;1.096291;20.66995;8.780189;0;TargetAnchor7
2;147.733;1.845184;1;2.756645;4.869829;0.6268396;13.14403;27.17118;11.1372;0;TargetAnchor8
