AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
1;35.94996;1.729961;0.8901576;2.46411;10.43234;0.2885134;1.237474;19.60453;12.60444;0;TargetAnchor1
2;56.28736;1.253696;1;2.127479;8.378183;0.3549799;1.108325;14.72799;7.31621;0;TargetAnchor1
2;67.83274;1.255814;1;2.274584;7.15203;0.3810835;1.307587;14.94757;7.715673;0;TargetAnchor2
2;76.02377;1.623695;1;2.069068;8.025618;0.4649244;0.1256478;19.07779;14.28023;0;TargetAnchor3
2;87.62063;1.541679;1;2.097854;5.838471;0.4790321;1.322164;20.48099;12.65151;0;TargetAnchor4
3;99.03888;2.149109;1;1.879483;5.926793;0.6877024;10.75489;32.9801;25.46403;1;TargetAnchor1
5;130.8762;1.529526;0.9791203;2.411495;9.897167;0.3807382;2.465884;18.03048;11.16733;0;TargetAnchor1
6;143.0633;1.812119;0.9879583;2.259028;8.704141;0.5406151;2.198767;22.06046;15.63547;0;TargetAnchor1
6;158.5411;1.873306;0.9284389;2.496382;8.485727;0.561419;0.7724473;23.2407;16.48907;0;TargetAnchor2
6;166.532;1.785629;1;1.456669;4.584401;0.6613705;10.52038;28.27928;20.73131;1;TargetAnchor3
8;185.3148;2.062729;1;1.927286;5.965271;0.6563525;11.63492;31.33919;23.15116;1;TargetAnchor1
9;197.0111;1.185394;1;1.851818;7.683762;0.3276684;0.5027735;13.49623;6.244189;0;TargetAnchor1
9;205.0344;1.254684;1;3.009219;9.514559;0.3509603;0.4967127;14.54866;7.098184;0;TargetAnchor2
9;212.1058;2.693909;1;2.58197;10.0544;0.7391115;12.42516;34.15439;22.53172;1;TargetAnchor3
