AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
1;8.834339;1.348076;1;2.566721;8.04266;0.3956859;0.6952508;16.27606;8.612309;0;TargetAnchor1
1;12.6786;1.347775;1;2.349968;7.724133;0.3049501;0.9449046;15.21186;6.886398;0;TargetAnchor2
2;21.96787;1.345814;1;2.430925;8.272743;0.3818217;0.9450615;15.57392;6.818425;0;TargetAnchor1
2;25.92275;1.360531;1;2.646866;7.913575;0.3624368;1.709137;15.38569;7.022564;0;TargetAnchor2
2;30.47402;1.404121;1;2.264022;8.205033;0.3129734;2.005036;15.1762;4.995504;0;TargetAnchor3
2;34.51388;1.944271;1;3.765684;11.65811;0.2505964;0.8309954;20.02661;4.704471;0;TargetAnchor4
2;43.16077;1.562057;1;4.76928;12.35663;0.230903;1.26273;16.21071;4.444653;0;TargetAnchor5
2;47.18344;2.187744;1;2.380424;6.37232;0.7132914;1.113586;26.14898;13.40684;0;TargetAnchor6
2;53.40579;2.890015;0;2.58591;2.331283;1.903264;66.51291;64.33485;45.42799;1;TargetAnchor7
3;66.69869;1.238457;1;2.994615;8.98811;0.3576554;1.679818;12.99383;4.293242;0;TargetAnchor1
3;69.89524;1.450974;0.8641081;3.13678;7.036226;0.7140743;11.63126;20.0612;12.70184;1;TargetAnchor2
4;78.38982;1.062416;1;2.410039;9.343204;0.2463147;1.619854;11.09166;3.178015;0;TargetAnchor1
4;81.76448;1.122574;1;2.686599;8.27261;0.2727943;0.99016;12.34081;5.320816;0;TargetAnchor2
4;86.76717;1.410439;1;2.163309;8.807842;0.1973966;0.3216954;14.49109;3.424515;0;TargetAnchor3
4;91.22987;1.804237;1;2.531361;8.150379;0.3014759;0.2918379;19.25608;5.70382;0;TargetAnchor4
4;95.62262;1.587715;1;2.595864;7.995306;0.375383;0.3067123;18.18171;8.419421;0;TargetAnchor5
4;99.45794;1.795235;1;2.680795;9.44508;0.2721748;0.6542845;19.0166;5.793016;0;TargetAnchor6
4;103.5008;1.601791;1;2.002663;7.284222;0.3435304;1.562461;17.87056;7.613056;0;TargetAnchor7
4;111.8734;2.374977;0.9427778;2.212383;3.911271;1.19126;14.13556;35.63551;25.46258;0;TargetAnchor8
