AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
5;347.9152;1.335449;0.9951985;1.438957;9.786943;0.2440679;1.874272;14.5558;8.142384;0;TargetAnchor1
5;352.6122;1.152588;1;1.443303;8.835969;0.1617977;1.167676;12.74084;4.918664;0;TargetAnchor2
5;355.5237;1.237732;1;1.981834;13.10513;0.1102203;0.5065675;13.15664;3.566313;0;TargetAnchor3
5;359.8762;1.625427;1;1.935363;10.4108;0.1835979;1.058182;17.66046;5.676835;0;TargetAnchor4
5;363.5749;1.554413;1;2.895783;16.74765;0.289273;9.421537;17.98231;11.63977;1;TargetAnchor5
6;375.9965;1.374634;0.9997125;1.406916;8.749435;0.2509135;2.570872;16.08008;9.381267;0;TargetAnchor1
6;381.9407;1.146118;1;1.271795;7.868992;0.1493499;1.564413;12.44483;4.252843;0;TargetAnchor2
6;387.2266;1.289063;1;2.215158;15.61042;0.1079852;0.8090791;13.33884;3.665889;0;TargetAnchor3
6;392.8716;2.016174;1;2.285247;13.96498;0.1636621;0.727367;20.94607;6.925104;0;TargetAnchor4
6;401.4317;1.879089;1;1.719143;11.72411;0.1471418;0.8199534;19.64884;6.320295;0;TargetAnchor5
6;407.8321;1.773895;1;1.946597;12.70907;0.1514809;0.4885693;18.68624;4.967533;0;TargetAnchor6
6;414.4267;1.79126;1;1.525826;10.75022;0.1555742;0.5621597;19.30308;5.814655;0;TargetAnchor7
6;424.6053;2.05365;0.9254818;1.607826;6.203127;0.5405816;11.75355;28.25236;18.67847;0;TargetAnchor8
