AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
1;6.081252;1.656722;1;2.285482;8.509687;0.2614843;1.339782;17.72589;5.347369;0;TargetAnchor1
1;10.64902;1.358926;1;2.08748;7.244883;0.31882;0.580389;15.84724;7.3688;0;TargetAnchor2
1;14.11891;1.739148;1;2.460133;8.048671;0.3934979;2.329483;22.00731;12.26427;0;TargetAnchor3
1;19.13241;2.702751;1;1.673403;4.356207;0.9974424;2.679463;42.63978;31.75745;0;TargetAnchor4
1;24.28606;2.160204;1;1.747726;4.775124;0.6487393;1.370374;32.57456;22.60726;0;TargetAnchor5
