AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
1;4.742872;1.387098;1;1.843691;10.10709;0.2218211;0.3088545;17.14706;9.462476;0;TargetAnchor1
1;10.01777;1.250436;1;1.742943;7.753154;0.2547225;0.4279083;16.63552;10.06883;0;TargetAnchor2
1;13.317;1.062081;1;1.557949;7.263591;0.2257923;2.538047;14.15617;8.421714;0;TargetAnchor3
1;23.40575;1.963346;1;1.285899;4.46766;0.5964061;9.843472;32.52409;23.95485;1;TargetAnchor4
2;29.9176;1.613201;1;1.425752;7.912517;0.2657467;1.389388;19.64065;12.27145;0;TargetAnchor1
2;39.55465;1.065948;1;3.065964;12.27964;0.2629147;3.952066;13.23297;7.245289;0;TargetAnchor2
3;46.86551;1.754059;1;1.170409;4.858527;0.4379018;11.51694;28.66686;20.77969;1;TargetAnchor1
4;53.66599;1.87534;1;1.128759;5.000018;0.4028657;11.29241;29.12188;20.34909;1;TargetAnchor1
5;77.51913;1.498039;0.8917815;2.424409;11.50281;0.4726844;11.43366;21.28744;14.48553;1;TargetAnchor1
6;84.49015;1.832069;1;1.227671;5.155995;0.4105127;10.73672;29.04888;20.90638;1;TargetAnchor1
7;91.1594;1.290245;1;1.512194;7.697098;0.2435948;1.85688;16.30642;9.231884;0;TargetAnchor1
7;96.25729;1.059616;1;1.643799;8.238029;0.1930038;2.077664;12.37135;6.050444;0;TargetAnchor2
7;108.6642;1.480682;1;1.435731;6.050542;0.2562135;0.4668937;21.83064;14.6966;0;TargetAnchor3
7;113.449;1.579323;1;1.683724;5.776598;0.4936861;9.402315;23.60933;16.45252;1;TargetAnchor4
8;119.8551;1.276138;1;1.404956;7.234081;0.2547648;2.491026;16.31393;9.418165;0;TargetAnchor1
8;125.1912;1.665657;1;1.58586;6.09138;0.3497414;1.42677;23.95174;16.22737;0;TargetAnchor2
8;129.8828;1.351654;1;1.872965;7.769742;0.2973877;1.325824;19.52576;12.80121;0;TargetAnchor3
8;136.3241;1.626923;1;1.465103;5.801498;0.3478935;1.335715;20.96071;12.43454;0;TargetAnchor4
8;142.4861;1.603714;1;1.553785;5.632068;0.3425893;1.867572;23.72584;16.16084;0;TargetAnchor5
8;148.2693;1.889374;1;1.278294;4.814432;0.4012802;1.742321;28.94092;20.43659;0;TargetAnchor6
8;153.8985;2.068115;1;1.345904;5.600502;0.3611309;2.441033;32.6833;23.63748;0;TargetAnchor7
8;160.9566;1.537598;0.9905571;2.008017;6.331638;0.3475022;8.707714;18.71127;10.29166;0;TargetAnchor8
