AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
1;5.428042;1.162706;1;0.9125457;7.611177;0.1303331;1.074687;15.10683;8.779878;0;TargetAnchor1
2;11.23977;2.310778;1;0.7323622;5.805665;0.2312387;11.13946;33.80717;20.97672;1;TargetAnchor1
3;20.09239;0.7199688;1;1.189917;8.523478;0.1904279;11.95599;10.60995;7.490749;1;TargetAnchor1
5;32.1854;1.15815;1;0.9820161;8.360588;0.152558;1.915788;14.44731;7.985599;0;TargetAnchor1
5;35.69591;0.5985451;1;0.9885042;6.621714;0.226888;14.47983;9.703344;7.72133;1;TargetAnchor2
6;42.75195;2.239708;1;0.9935654;6.902707;0.2791825;12.27749;34.83312;25.18944;1;TargetAnchor1
7;53.82163;1.074768;1;0.8930151;9.296468;0.03139734;2.833403;10.85474;1.642455;0;TargetAnchor1
7;57.53711;1.136391;1;0.9853883;10.50194;0.05465648;2.410619;11.63482;2.470984;0;TargetAnchor2
7;60.87664;1.330658;1;1.390163;14.23158;0.05564129;1.028144;13.67542;2.792822;0;TargetAnchor3
7;64.31371;2.433128;0.9519094;2.122751;20.40753;0.3003218;10.51477;28.39693;13.98841;1;TargetAnchor4
8;74.46838;1.207634;1;0.9039549;7.816429;0.1402996;1.95576;14.22471;7.080556;0;TargetAnchor1
8;78.21608;1.477386;1;1.021015;10.34406;0.1087516;0.8432648;15.69418;4.656173;0;TargetAnchor2
