AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
1;11.76954;2.549772;0.9998817;2.074474;6.323784;0.6925784;1.716439;39.03714;33.84857;0;TargetAnchor1
1;17.16343;2.605124;1;1.296616;3.652719;0.5940613;2.277395;44.72659;35.41148;0;TargetAnchor2
1;22.4749;2.682785;1;1.349271;3.750556;0.6500504;1.162182;46.04829;37.72987;0;TargetAnchor3
1;27.88877;2.674828;1;1.175479;3.134752;0.6939528;1.444805;47.99786;37.85218;0;TargetAnchor4
1;33.75586;2.639992;1;1.452663;3.943564;0.6586029;2.155694;45.30865;35.50836;1;TargetAnchor5
