AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
1;13.46195;2.900011;1;3.911047;11.95951;1.018245;17.1142;34.01051;13.32427;1;TargetAnchor1
2;20.19434;3.019218;1;3.721304;12.83575;0.5216115;21.83786;33.92032;11.20796;1;TargetAnchor1
3;28.17167;2.769854;1;1.465002;2.559437;1.206113;28.65477;56.66683;41.86801;1;TargetAnchor1
4;44.45613;2.332237;1;3.308428;10.43823;0.6131341;21.29771;27.57491;9.550038;1;TargetAnchor1
