AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
1;16.07777;2.430792;0.8902528;8.666063;14.5986;1.03803;2.762882;26.71303;22.01571;0;TargetAnchor1
1;22.01941;2.434174;1;3.701815;4.493434;1.2719;3.397035;38.71989;29.09061;0;TargetAnchor2
1;28.1533;2.733826;1;3.153813;3.534368;1.461518;2.380371;48.18568;39.23083;0;TargetAnchor3
1;33.85881;3.019466;1;4.274338;5.307766;1.371057;2.470279;47.51263;35.51241;0;TargetAnchor4
1;39.85353;2.644527;1;3.481882;3.668332;1.476759;2.502481;44.61114;34.39345;0;TargetAnchor5
1;60.69308;0.2997055;1;2.108926;0.9079673;2.012699;27.91665;6.968067;6.284112;1;TargetAnchor6
2;69.50363;1.818962;1;4.921718;8.281121;0.9024796;2.112734;20.20722;16.01406;0;TargetAnchor1
2;75.34418;1.340828;1;5.690104;7.731143;0.6076205;1.389787;14.71995;7.067728;0;TargetAnchor2
2;79.62093;1.679382;1;8.776051;12.88155;0.5529281;1.883623;18.39478;7.306435;0;TargetAnchor3
2;83.72062;2.229912;1;5.689719;7.391639;1.044547;3.14695;26.94127;12.69864;0;TargetAnchor4
2;88.54044;2.638977;1;4.094154;4.609533;1.197991;12.54057;41.74506;30.78793;1;TargetAnchor5
