AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
7;446.1819;1.805756;1;1.387448;5.610885;0.4514162;9.551118;29.92063;22.76926;1;TargetAnchor1
8;455.9825;1.468292;1;1.947183;12.03487;0.1604877;0.9709837;15.20874;3.14604;0;TargetAnchor1
8;461.9864;1.10675;1;1.897368;11.39892;0.1802638;4.509753;11.98452;4.035634;0;TargetAnchor2
8;468.842;1.616608;1;2.665482;16.77674;0.1857797;0.470901;17.00013;4.893638;0;TargetAnchor3
8;473.4698;1.551483;1;2.872695;14.83007;0.2039912;3.506746;16.46513;3.695255;0;TargetAnchor4
8;476.123;0.2337646;0;0.8792564;2.300127;0.4141331;24.41107;4.969436;4.702812;1;TargetAnchor5
9;482.7632;1.391846;1;2.083718;13.60753;0.1282474;3.081091;14.08794;2.067614;0;TargetAnchor1
9;487.1122;1.512268;1;2.069347;13.27041;0.1462907;1.567855;15.43775;2.402619;0;TargetAnchor2
9;490.8377;1.643921;1;2.025733;8.679819;0.3727324;9.416831;23.33843;13.10295;1;TargetAnchor3
10;499.1471;1.398285;1;2.211928;13.62982;0.1423081;3.175053;14.93031;4.616047;0;TargetAnchor1
10;503.5327;1.260101;1;2.293401;12.70164;0.1870887;3.390502;13.72252;4.296481;0;TargetAnchor2
10;506.813;1.77713;1;1.763226;7.889113;0.3659804;9.998215;25.25563;13.93353;1;TargetAnchor3
11;513.6857;2.822998;0.9793667;3.639323;22.81254;0.2882888;12.05635;30.31102;16.37073;1;TargetAnchor1
12;524.4321;1.249939;1;1.711849;9.135139;0.2283255;2.645983;15.36612;8.307591;0;TargetAnchor1
12;528.7679;1.504395;1;2.844138;13.19651;0.1943167;0.7562307;16.81071;6.306709;0;TargetAnchor2
12;537.6769;2.162354;1;1.95987;9.657492;0.3511224;10.76424;28.81717;15.08481;1;TargetAnchor3
13;545.9954;1.574768;1;1.51734;7.865194;0.2696518;3.742555;20.0635;11.52261;0;TargetAnchor1
14;554.6373;1.684509;1;1.629002;8.643852;0.2427165;2.339267;20.5419;11.2756;0;TargetAnchor1
14;560.3427;1.25415;1;2.417015;13.01995;0.1673385;0.4873497;13.36603;4.14925;0;TargetAnchor2
14;566.4623;1.226379;1;2.36588;13.05214;0.1606369;2.805457;13.77604;5.296302;0;TargetAnchor3
14;572.3137;2.131836;1;2.275492;12.22375;0.2170927;3.556472;22.52456;5.523121;0;TargetAnchor4
15;582.4326;1.326782;1;1.504992;8.68853;0.1568331;0.9080486;14.2037;4.856896;0;TargetAnchor1
15;586.4734;1.210205;1;2.480633;13.66984;0.164141;2.021385;12.70274;3.437891;0;TargetAnchor2
15;590.0574;1.969055;1;2.032925;10.22228;0.3266814;9.76168;25.65449;14.35895;1;TargetAnchor3
17;604.998;1.523499;1;1.849758;11.71914;0.1554166;1.652501;15.62624;3.040346;0;TargetAnchor1
17;610.7635;1.295654;1;2.273281;13.17745;0.1423143;3.133944;13.11099;1.83737;0;TargetAnchor2
17;616.0626;4.327087;0.7042361;2.819632;16.07192;0.3251016;10.44531;49.64907;22.38059;1;TargetAnchor3
18;626.3303;1.541382;1;2.244292;14.02204;0.1169757;2.215746;15.68535;3.02388;0;TargetAnchor1
18;632.014;1.644714;1;2.700017;14.54647;0.1713509;1.583552;16.70519;2.560448;0;TargetAnchor2
18;636.8604;1.580933;1;2.310436;13.83122;0.2018038;2.061501;16.53746;3.726391;0;TargetAnchor3
18;647.0085;1.828918;1;2.535889;13.57549;0.1871225;0.6374665;19.24031;3.994429;0;TargetAnchor4
18;653.3097;1.713562;1;2.995023;15.97992;0.1566917;1.88895;17.61787;3.128444;0;TargetAnchor5
18;658.8293;2.1297;1;2.708824;14.64982;0.2043603;2.779246;22.00368;3.637528;0;TargetAnchor6
18;666.0284;1.887817;1;2.636435;16.47017;0.1429019;0.9241682;19.36888;2.991913;0;TargetAnchor7
18;672.7187;2.210754;0.8003259;2.009677;6.518145;0.5087076;7.61373;30.83204;22.00045;0;TargetAnchor8
