AttemptID;StartTime;Duration;Efficiency;ZigZag_Average;Curvature_Normalized;MaxLateralOffset;LandingError;TotalDistance;VerticalOscillation;EndedInDeath;TargetAnchorName
1;7.352526;1.682116;0.9925283;5.203175;17.84101;0.5065988;3.762779;20.99817;14.98095;0;TargetAnchor1
2;13.39406;1.698133;1;1.830786;6.544654;0.3880008;1.734342;23.21823;14.8041;0;TargetAnchor1
2;17.46517;1.970617;1;1.696084;5.832882;0.4478356;1.651111;27.04252;21.23663;0;TargetAnchor2
3;25.33973;2.163143;1;2.33511;6.842567;1.151445;0.614762;32.07865;25.88868;0;TargetAnchor1
